University Id;Faculty Name
1033;Akçakoca Turizm Ýþletmeciliði ve Otelcilik Yüksekokulu
1033;Eczacýlýk Fakültesi
1033;Eðitim Fakültesi
1033;Fen-Edebiyat Fakültesi
1033;Ýlahiyat Fakültesi
1033;Ýþletme Fakültesi
1033;Mühendislik Fakültesi
1033;Orman Fakültesi
1033;Saðlýk Bilimleri Fakültesi
1033;Týp Fakültesi
1033;Ziraat Fakültesi
1034;Birgivi Ýlahiyat Fakültesi
1034;Çeþme Turizm Fakültesi
1034;Diþ Hekimliði Fakültesi
1034;Eczacýlýk Fakültesi
1034;Edebiyat Fakültesi
1034;Eðitim Fakültesi
1034;Fen Fakültesi
1034;Güzel Sanatlar Tasarým ve Mimarlýk Fakültesi
1034;Hemþirelik Fakültesi
1034;Ýktisadi ve Ýdari Bilimler Fakültesi
1034;Ýletiþim Fakültesi
1034;Moda ve Tasarým Yüksekokulu
1034;Mühendislik Fakültesi
1034;Ödemiþ Saðlýk Bilimleri Fakültesi
1034;Saðlýk Bilimleri Fakültesi
1034;Su Ürünleri Fakültesi
1034;Týp Fakültesi
1034;Ziraat Fakültesi
1035;Diþ Hekimliði Fakültesi
1035;Eczacýlýk Fakültesi
1035;Edebiyat Fakültesi
1035;Eðitim Fakültesi
1035;Fen Fakültesi
1035;Havacýlýk ve Uzay Bilimleri Fakültesi
1035;Hukuk Fakültesi
1035;Ýktisadi ve Ýdari Bilimler Fakültesi
1035;Ýlahiyat Fakültesi
1035;Ýletiþim Fakültesi
1035;Mimarlýk Fakültesi
1035;Mühendislik Fakültesi
1035;Saðlýk Bilimleri Fakültesi
1035;Týp Fakültesi
1035;Turizm Fakültesi
1035;Veteriner Fakültesi
1035;Ziraat Fakültesi
1036;Ali Cavit Çelebioðlu Sivil Havacýlýk Yüksekokulu
1036;Diþ Hekimliði Fakültesi
1036;Eczacýlýk Fakültesi
1036;Eðitim Fakültesi
1036;Fen-Edebiyat Fakültesi
1036;Hukuk Fakültesi
1036;Ýktisadi ve Ýdari Bilimler Fakültesi
1036;Ýlahiyat Fakültesi
1036;Kemaliye Hacý Ali Akýn Uygulamalý Bilimler Yüksekokulu
1036;Mühendislik-Mimarlýk Fakültesi
1036;Saðlýk Bilimleri Fakültesi
1036;Týp Fakültesi
1037;Edebiyat Fakültesi
1037;Fen Fakültesi
1037;Ýktisadi ve Ýdari Bilimler Fakültesi
1037;Mühendislik ve Mimarlýk Fakültesi
1037;Saðlýk Bilimleri Fakültesi
1038;Diþ Hekimliði Fakültesi
1038;Eðitim Fakültesi
1038;Fen Fakültesi
1038;Hukuk Fakültesi
1038;Ýktisadi ve Ýdari Bilimler Fakültesi
1038;Ýlahiyat Fakültesi
1038;Ýnsan ve Toplum Bilimleri Fakültesi
1038;Mühendislik-Mimarlýk Fakültesi
1038;Saðlýk Bilimleri Fakültesi
1038;Sanat ve Tasarým Fakültesi
1038;Týp Fakültesi
1038;Turizm Fakültesi
1038;Ziraat Fakültesi
1124;Fen Fakültesi
